City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,komsomolskiy,40.4272,71.7189,54.32,71,75,4.61,UZ,1680749353
1,olafsvik,64.8945,-23.7142,38.75,80,100,7.34,IS,1680749372
2,brookhaven,31.5791,-90.4407,73.8,87,100,6.49,US,1680749351
3,cape town,-33.9258,18.4232,71.11,73,0,3.44,ZA,1680749186
4,batagay,67.6333,134.6333,2.26,83,99,4.21,RU,1680749378
5,baiyin,36.5583,104.2081,40.06,31,0,6.8,CN,1680749378
6,turbat,26.0023,63.044,75.52,49,0,0.43,PK,1680749378
7,brejo santo,-7.4933,-38.9872,73.63,72,100,2.53,BR,1680749378
8,ushuaia,-54.8,-68.3,42.46,61,0,5.75,AR,1680749217
9,bom jardim,-7.7958,-35.5872,69.49,91,89,1.92,BR,1680749378
10,souillac,-20.5167,57.5167,73.78,94,20,2.3,MU,1680749354
11,punta arenas,-53.15,-70.9167,41.11,65,20,5.75,CL,1680749378
12,matagami,49.7502,-77.6328,24.91,80,100,21.85,CA,1680749377
13,albany,42.6001,-73.9662,50.9,88,100,4.0,US,1680749327
14,severo-kurilsk,50.6789,156.125,33.26,63,4,11.95,RU,1680749336
15,east london,-33.0153,27.9116,65.34,73,0,15.48,ZA,1680749331
16,vestmannaeyjar,63.4427,-20.2734,41.2,67,67,7.56,IS,1680749339
17,vaini,-21.2,-175.2,86.16,70,20,12.66,TO,1680749332
18,hasaki,35.7333,140.8333,69.22,69,100,27.18,JP,1680749340
19,tuktoyaktuk,69.4541,-133.0374,3.2,85,100,9.22,CA,1680749327
20,qaanaaq,77.484,-69.3632,-17.68,75,36,6.08,GL,1680749338
21,dongsheng,39.8161,109.9776,37.89,37,0,16.46,CN,1680749379
22,sovetskiy,61.3614,63.5842,30.36,90,63,8.46,RU,1680749379
23,ngunguru,-35.6167,174.5,61.83,94,100,17.98,NZ,1680749379
24,panara,22.0667,78.55,84.06,14,80,5.68,IN,1680749379
25,mataura,-46.1927,168.8643,49.15,64,95,9.42,NZ,1680749328
26,castro,-24.7911,-50.0119,60.53,94,82,9.44,BR,1680749328
27,hervey bay,-25.2986,152.8535,78.67,59,74,9.73,AU,1680749379
28,mudanjiang,44.5833,129.6,38.64,96,100,1.86,CN,1680749379
29,lebu,-37.6167,-73.65,57.27,95,100,5.28,CL,1680749379
30,te anau,-45.4167,167.7167,51.37,51,90,4.09,NZ,1680749351
31,east liverpool,40.6187,-80.5773,65.07,95,100,8.79,US,1680749272
32,otavi,-19.65,17.3333,66.02,46,26,3.15,NA,1680749380
33,busselton,-33.65,115.3333,70.2,53,2,5.39,AU,1680749331
34,puerto ayora,-0.7393,-90.3518,77.56,98,100,3.0,EC,1680749332
35,rawson,-43.3002,-65.1023,69.51,42,96,9.78,AR,1680749336
36,geeste,52.6,7.2667,32.9,69,0,6.04,DE,1680749380
37,port alfred,-33.5906,26.891,65.48,73,0,14.67,ZA,1680749380
38,okhotsk,59.3833,143.3,24.13,67,16,14.99,RU,1680749380
39,arua,3.0201,30.9111,64.54,82,88,5.7,UG,1680749380
40,kasongo-lunda,-6.4667,16.8167,68.72,99,100,1.66,CD,1680749374
41,victoria,22.2855,114.1577,80.65,91,31,1.01,HK,1680749279
42,chokurdakh,70.6333,147.9167,2.73,93,61,3.47,RU,1680749334
43,hobyo,5.3505,48.5268,82.29,69,13,9.06,SO,1680749380
44,rikitea,-23.1203,-134.9692,78.49,69,36,7.45,PF,1680749326
45,mahanoro,-19.9,48.8,73.65,92,100,3.33,MG,1680749380
46,namibe,-15.1961,12.1522,78.96,81,100,4.79,AO,1680749381
47,norman wells,65.282,-126.8329,26.64,54,40,4.61,CA,1680749331
48,tasiilaq,65.6145,-37.6368,23.16,94,100,12.73,GL,1680749343
49,iqaluit,63.7506,-68.5145,-2.47,78,75,10.36,CA,1680749352
50,mogadishu,2.0371,45.3438,82.02,76,98,9.82,SO,1680749352
51,xingyi,24.1877,102.817,75.22,26,4,9.22,CN,1680749381
52,verkhnyaya inta,65.9811,60.3094,-8.82,87,7,4.72,RU,1680749381
53,faanui,-16.4833,-151.75,83.32,67,11,6.22,PF,1680749333
54,walcourt,50.2539,4.4352,42.19,66,75,3.44,BE,1680749381
55,chuy,-33.6971,-53.4616,63.63,66,80,7.83,UY,1680749336
56,dedovichi,57.5517,29.9502,36.25,91,100,10.42,RU,1680749381
